,0,1
0,104,1025
1,104,1026
2,105,1023
3,105,1024
4,105,1025
5,105,1026
6,106,259
7,106,260
8,106,320
9,106,321
10,106,343
11,106,344
12,106,358
13,106,359
14,106,422
15,106,423
16,106,444
17,106,445
18,106,1022
19,106,1023
20,106,1024
21,106,1100
22,106,1101
23,107,256
24,107,257
25,107,259
26,107,260
27,107,316
28,107,317
29,107,320
30,107,321
31,107,343
32,107,344
33,107,358
34,107,359
35,107,404
36,107,416
37,107,417
38,107,422
39,107,423
40,107,444
41,107,445
42,107,1022
43,107,1023
44,107,1100
45,107,1101
46,107,1142
47,107,1143
48,108,253
49,108,254
50,108,256
51,108,257
52,108,281
53,108,282
54,108,316
55,108,317
56,108,330
57,108,331
58,108,352
59,108,353
60,108,404
61,108,405
62,108,416
63,108,417
64,108,430
65,108,431
66,108,458
67,108,459
68,108,460
69,108,557
70,108,558
71,108,1022
72,108,1023
73,108,1142
74,108,1143
75,108,1180
76,108,1181
77,109,252
78,109,253
79,109,254
80,109,256
81,109,281
82,109,282
83,109,304
84,109,305
85,109,330
86,109,331
87,109,352
88,109,353
89,109,404
90,109,405
91,109,407
92,109,408
93,109,430
94,109,431
95,109,458
96,109,459
97,109,460
98,109,461
99,109,505
100,109,506
101,109,533
102,109,534
103,109,557
104,109,558
105,109,1021
106,109,1022
107,109,1180
108,109,1181
109,109,1195
110,109,1196
111,110,248
112,110,249
113,110,252
114,110,253
115,110,304
116,110,305
117,110,407
118,110,408
119,110,460
120,110,461
121,110,485
122,110,486
123,110,505
124,110,506
125,110,533
126,110,534
127,110,559
128,110,560
129,110,637
130,110,638
131,110,643
132,110,851
133,110,852
134,110,929
135,110,930
136,110,1021
137,110,1022
138,110,1195
139,110,1196
140,110,1239
141,110,1240
142,111,247
143,111,248
144,111,249
145,111,485
146,111,486
147,111,498
148,111,499
149,111,507
150,111,508
151,111,559
152,111,560
153,111,587
154,111,588
155,111,637
156,111,638
157,111,643
158,111,845
159,111,846
160,111,851
161,111,852
162,111,883
163,111,897
164,111,898
165,111,926
166,111,927
167,111,929
168,111,930
169,111,952
170,111,953
171,111,1019
172,111,1020
173,111,1021
174,111,1239
175,111,1240
176,111,1270
177,111,1271
178,111,1328
179,112,246
180,112,247
181,112,248
182,112,498
183,112,499
184,112,507
185,112,508
186,112,587
187,112,588
188,112,603
189,112,604
190,112,641
191,112,645
192,112,646
193,112,687
194,112,688
195,112,716
196,112,717
197,112,822
198,112,823
199,112,845
200,112,846
201,112,853
202,112,854
203,112,883
204,112,897
205,112,898
206,112,923
207,112,924
208,112,926
209,112,927
210,112,944
211,112,945
212,112,952
213,112,953
214,112,1009
215,112,1010
216,112,1019
217,112,1020
218,112,1021
219,112,1270
220,112,1271
221,112,1297
222,112,1298
223,112,1328
224,113,245
225,113,246
226,113,247
227,113,603
228,113,604
229,113,641
230,113,645
231,113,646
232,113,654
233,113,655
234,113,674
235,113,675
236,113,687
237,113,688
238,113,702
239,113,716
240,113,717
241,113,822
242,113,823
243,113,853
244,113,854
245,113,878
246,113,879
247,113,885
248,113,902
249,113,903
250,113,919
251,113,920
252,113,923
253,113,924
254,113,926
255,113,944
256,113,945
257,113,948
258,113,949
259,113,963
260,113,964
261,113,1007
262,113,1008
263,113,1009
264,113,1010
265,113,1297
266,113,1298
267,113,1326
268,113,1330
269,113,1331
270,114,244
271,114,245
272,114,246
273,114,654
274,114,655
275,114,660
276,114,661
277,114,674
278,114,675
279,114,689
280,114,690
281,114,702
282,114,719
283,114,720
284,114,878
285,114,879
286,114,885
287,114,902
288,114,903
289,114,906
290,114,907
291,114,908
292,114,914
293,114,915
294,114,919
295,114,920
296,114,948
297,114,949
298,114,963
299,114,964
300,114,969
301,114,970
302,114,1005
303,114,1006
304,114,1007
305,114,1008
306,114,1326
307,114,1330
308,114,1331
309,114,1367
310,114,1368
311,115,243
312,115,244
313,115,245
314,115,660
315,115,661
316,115,663
317,115,664
318,115,689
319,115,690
320,115,698
321,115,719
322,115,720
323,115,906
324,115,907
325,115,908
326,115,909
327,115,914
328,115,915
329,115,969
330,115,970
331,115,979
332,115,980
333,115,1004
334,115,1005
335,115,1006
336,115,1367
337,115,1368
338,115,1432
339,115,1433
340,116,242
341,116,243
342,116,244
343,116,663
344,116,664
345,116,698
346,116,908
347,116,909
348,116,911
349,116,912
350,116,979
351,116,980
352,116,985
353,116,986
354,116,1003
355,116,1004
356,116,1005
357,116,1432
358,116,1433
359,116,1470
360,116,1471
361,117,242
362,117,243
363,117,911
364,117,912
365,117,985
366,117,986
367,117,989
368,117,990
369,117,991
370,117,1001
371,117,1002
372,117,1003
373,117,1004
374,117,1470
375,117,1471
376,117,1513
377,117,1514
378,118,241
379,118,242
380,118,989
381,118,990
382,118,991
383,118,992
384,118,998
385,118,999
386,118,1001
387,118,1002
388,118,1513
389,118,1514
390,118,1540
391,118,1541
392,119,240
393,119,241
394,119,242
395,119,991
396,119,992
397,119,993
398,119,994
399,119,998
400,119,999
401,119,1001
402,119,1540
403,119,1541
404,119,1576
405,119,1577
406,119,1621
407,119,1622
408,120,240
409,120,241
410,120,993
411,120,994
412,120,995
413,120,996
414,120,1576
415,120,1577
416,120,1601
417,120,1602
418,120,1621
419,120,1622
420,121,239
421,121,240
422,121,995
423,121,996
424,121,1601
425,121,1602
426,121,1619
427,121,1620
428,121,1626
429,121,1627
430,122,239
431,122,240
432,122,1619
433,122,1620
434,122,1626
435,122,1627
436,122,1649
437,122,1650
438,123,239
439,123,240
440,123,1649
441,123,1650
442,123,1677
443,123,1678
444,123,1744
445,123,1745
446,124,238
447,124,239
448,124,1677
449,124,1678
450,124,1691
451,124,1692
452,124,1742
453,124,1743
454,124,1744
455,124,1745
456,125,238
457,125,239
458,125,1691
459,125,1692
460,125,1704
461,125,1705
462,125,1742
463,125,1743
464,125,1751
465,125,1752
466,126,237
467,126,238
468,126,1704
469,126,1705
470,126,1725
471,126,1726
472,126,1742
473,126,1751
474,126,1752
475,126,1753
476,127,237
477,127,238
478,127,1725
479,127,1726
480,127,1752
481,127,1753
482,127,1754
483,127,1755
484,128,237
485,128,1744
486,128,1745
487,128,1754
488,128,1755
489,129,236
490,129,237
491,129,1744
492,129,1745
493,129,1747
494,129,1754
495,129,1755
496,130,236
497,130,237
498,130,1744
499,130,1745
500,130,1747
501,130,1748
502,130,1754
503,130,1755
504,131,236
505,131,1747
506,131,1748
507,131,1750
508,131,1751
509,131,1754
510,132,235
511,132,236
512,132,1750
513,132,1751
514,132,1756
515,132,1757
516,133,235
517,133,236
518,133,1756
519,133,1757
520,133,1758
521,133,1759
522,133,1810
523,133,1811
524,133,1850
525,133,1851
526,134,234
527,134,235
528,134,1758
529,134,1759
530,134,1787
531,134,1788
532,134,1802
533,134,1803
534,134,1810
535,134,1811
536,134,1813
537,134,1846
538,134,1847
539,134,1850
540,134,1851
541,134,2011
542,134,2012
543,135,234
544,135,235
545,135,1787
546,135,1788
547,135,1792
548,135,1793
549,135,1802
550,135,1803
551,135,1813
552,135,1814
553,135,1842
554,135,1843
555,135,1846
556,135,1847
557,135,1883
558,135,1884
559,135,2010
560,135,2011
561,135,2012
562,135,2015
563,135,2039
564,135,2040
565,136,233
566,136,234
567,136,1792
568,136,1793
569,136,1796
570,136,1797
571,136,1813
572,136,1814
573,136,1815
574,136,1835
575,136,1836
576,136,1842
577,136,1843
578,136,1883
579,136,1884
580,136,1890
581,136,1891
582,136,1949
583,136,1961
584,136,1962
585,136,2001
586,136,2002
587,136,2005
588,136,2010
589,136,2011
590,136,2015
591,136,2016
592,136,2039
593,136,2040
594,136,2043
595,136,2103
596,136,2104
597,137,233
598,137,234
599,137,1796
600,137,1797
601,137,1814
602,137,1815
603,137,1816
604,137,1817
605,137,1835
606,137,1836
607,137,1842
608,137,1890
609,137,1891
610,137,1893
611,137,1894
612,137,1928
613,137,1929
614,137,1949
615,137,1961
616,137,1962
617,137,1986
618,137,1987
619,137,2001
620,137,2002
621,137,2005
622,137,2010
623,137,2015
624,137,2016
625,137,2017
626,137,2043
627,137,2044
628,137,2074
629,137,2075
630,137,2088
631,137,2089
632,137,2102
633,137,2103
634,137,2104
635,138,232
636,138,233
637,138,1816
638,138,1817
639,138,1821
640,138,1822
641,138,1893
642,138,1894
643,138,1903
644,138,1904
645,138,1928
646,138,1929
647,138,1951
648,138,1964
649,138,1965
650,138,1986
651,138,1987
652,138,2003
653,138,2016
654,138,2017
655,138,2043
656,138,2044
657,138,2046
658,138,2047
659,138,2074
660,138,2075
661,138,2088
662,138,2089
663,138,2102
664,138,2103
665,138,2119
666,138,2120
667,138,2161
668,138,2162
669,139,232
670,139,233
671,139,1821
672,139,1822
673,139,1903
674,139,1904
675,139,1916
676,139,1917
677,139,1951
678,139,1964
679,139,1965
680,139,1983
681,139,1984
682,139,2003
683,139,2046
684,139,2047
685,139,2050
686,139,2051
687,139,2085
688,139,2086
689,139,2097
690,139,2098
691,139,2102
692,139,2119
693,139,2120
694,139,2123
695,139,2124
696,139,2151
697,139,2152
698,139,2161
699,139,2162
700,139,2199
701,139,2200
702,140,232
703,140,233
704,140,1916
705,140,1917
706,140,1983
707,140,1984
708,140,2050
709,140,2051
710,140,2085
711,140,2086
712,140,2097
713,140,2098
714,140,2120
715,140,2123
716,140,2124
717,140,2130
718,140,2131
719,140,2151
720,140,2152
721,140,2172
722,140,2173
723,140,2199
724,140,2200
725,140,2446
726,140,2447
727,141,231
728,141,232
729,141,2117
730,141,2118
731,141,2120
732,141,2130
733,141,2131
734,141,2141
735,141,2142
736,141,2172
737,141,2173
738,141,2179
739,141,2180
740,141,2214
741,141,2215
742,141,2445
743,141,2446
744,141,2447
745,142,231
746,142,232
747,142,2106
748,142,2107
749,142,2117
750,142,2118
